kind,name,file,rows,columns
node,element,nodes_element.csv,49,14
node,cluster,nodes_cluster.csv,40,12
node,function_position,nodes_function_position.csv,126,17
node,material,nodes_material.csv,18,10
node,device,nodes_device.csv,12,8
node,system,nodes_system.csv,7,7
node,industry_node,nodes_industry_node.csv,7,6
node,strategic_signal,nodes_strategic_signal.csv,154,19
node,strategic_clock,nodes_strategic_clock.csv,40,25
node,source,nodes_source.csv,19,11
node,alt_material_option,nodes_alt_material_option.csv,67,3
node,alt_route_option,nodes_alt_route_option.csv,53,3
node,alt_system_option,nodes_alt_system_option.csv,39,3
edge,belongs_to,edges_belongs_to.csv,98,8
edge,enables,edges_enables.csv,51,10
edge,used_in,edges_used_in.csv,18,11
edge,part_of,edges_part_of.csv,13,11
edge,deployed_in,edges_deployed_in.csv,10,11
edge,sub_material,edges_sub_material.csv,71,18
edge,sub_route,edges_sub_route.csv,53,17
edge,sub_system,edges_sub_system.csv,52,17
edge,affects,edges_affects.csv,194,17
edge,supported_by,edges_supported_by.csv,221,10
